old_product_id,old_handle,old_title,new_handle,new_title,new_color
10088889254176,blackout-pump-cover,Blackout Pump Cover,pump-cover,Pump Cover,Blackout
10088893448480,unc-blue-pump-cover,UNC Blue Pump Cover,pump-cover,Pump Cover,UNC Blue
10088901116192,cool-grey-pump-cover,Cool Grey Pump Cover,pump-cover,Pump Cover,Cool Grey
10088951021856,oreo-pump-cover,Oreo Pump Cover,pump-cover,Pump Cover,Oreo
10088958034208,midnight-black-pump-cover,Midnight Black Pump Cover,pump-cover,Pump Cover,Midnight Black
10137377964320,cherry-blossom-pump-cover,Cherry Blossom Pump Cover,pump-cover,Pump Cover,Cherry Blossom
10402011709728,navy-pump-cover,Navy Pump Cover,pump-cover,Pump Cover,Navy
10444471337248,gunmetal-grey-pump-cover,Gunmetal Grey Pump Cover,pump-cover,Pump Cover,Gunmetal Grey
